theme_slug,theme_title_th,theme_emoji,theme_order,word,ipa,thai,emoji,hint,pos,example_en,example_th,order
prompts,วลีสั่ง AI,✍️,42,make it shorter,,ทำให้สั้นลง,✂️,บอก AI ให้ย่อข้อความ,phr.,Make it shorter.,ทำให้สั้นลง,1
prompts,วลีสั่ง AI,✍️,42,in bullet points,,ตอบเป็นข้อ ๆ,🔘,ให้ AI ตอบเป็นหัวข้อย่อย,phr.,List it in bullet points.,ตอบเป็นข้อ ๆ,2
prompts,วลีสั่ง AI,✍️,42,step by step,,ทีละขั้นตอน,🪜,ให้ AI อธิบายเป็นขั้น ๆ,phr.,Explain step by step.,อธิบายทีละขั้น,3
prompts,วลีสั่ง AI,✍️,42,fix the grammar,,แก้ไวยากรณ์,✏️,ให้ AI แก้แกรมมาร์,phr.,Fix the grammar.,ช่วยแก้ไวยากรณ์,4
prompts,วลีสั่ง AI,✍️,42,give me examples,,ขอตัวอย่าง,💡,ให้ AI ยกตัวอย่าง,phr.,Give me examples.,ขอตัวอย่างหน่อย,5
prompts,วลีสั่ง AI,✍️,42,make it formal,,ทำให้ทางการ,👔,ปรับให้เป็นทางการ,phr.,Make it more formal.,ทำให้ทางการขึ้น,6
prompts,วลีสั่ง AI,✍️,42,explain simply,,อธิบายง่าย ๆ,🧒,ขอคำอธิบายแบบง่าย,phr.,Explain it simply.,อธิบายแบบง่าย ๆ,7
prompts,วลีสั่ง AI,✍️,42,in Thai,,เป็นภาษาไทย,🇹🇭,ให้ AI ตอบเป็นไทย,phr.,Answer in Thai.,ตอบเป็นภาษาไทย,8
prompts,วลีสั่ง AI,✍️,42,double-check,,ตรวจทานซ้ำ,🔎,ให้ AI ตรวจข้อมูลซ้ำ,phr.,Double-check the facts.,ช่วยตรวจข้อมูลซ้ำ,9
prompts,วลีสั่ง AI,✍️,42,make a list,,ทำเป็นรายการ,📝,ให้ AI ทำลิสต์,phr.,Make a list of ideas.,ทำรายการไอเดีย,10
prompts,วลีสั่ง AI,✍️,42,add more details,,ใส่รายละเอียดเพิ่ม,➕,ขอรายละเอียดมากขึ้น,phr.,Add more details.,ใส่รายละเอียดเพิ่ม,11
prompts,วลีสั่ง AI,✍️,42,for beginners,,สำหรับมือใหม่,🐣,ให้เข้าใจง่ายระดับเริ่มต้น,phr.,Explain it for beginners.,อธิบายแบบมือใหม่,12
prompts,วลีสั่ง AI,✍️,42,proofread,/ˈpruːfriːd/,ตรวจแก้คำผิด,🧐,proof + read = ตรวจทาน,v.,Proofread this email.,ตรวจอีเมลนี้ให้หน่อย,13
prompts,วลีสั่ง AI,✍️,42,keep it simple,,เรียบง่ายเข้าไว้,🙂,ให้ AI ตอบแบบไม่ซับซ้อน,phr.,Keep it simple.,เอาแบบง่าย ๆ,14
