theme_slug,theme_title_th,theme_emoji,theme_order,word,ipa,thai,emoji,hint,pos,example_en,example_th,order
vegetables,ผัก,🥦,21,carrot,/ˈkærət/,แครอท,🥕,แคร์รอท ตรงตัว,n.,I like carrots.,ฉันชอบแครอท,1
vegetables,ผัก,🥦,21,potato,/pəˈteɪtoʊ/,มันฝรั่ง,🥔,โพเทโท้ = มันฝรั่ง,n.,Fried potato.,มันฝรั่งทอด,2
vegetables,ผัก,🥦,21,corn,/kɔːrn/,ข้าวโพด,🌽,คอร์น = ข้าวโพด,n.,Sweet corn.,ข้าวโพดหวาน,3
vegetables,ผัก,🥦,21,broccoli,/ˈbrɒkəli/,บรอกโคลี,🥦,บรอกโคลี่ ตรงตัว,n.,Eat your broccoli.,กินบรอกโคลี,4
vegetables,ผัก,🥦,21,garlic,/ˈɡɑːrlɪk/,กระเทียม,🧄,การ์ลิก = กระเทียม,n.,Add garlic.,ใส่กระเทียม,5
vegetables,ผัก,🥦,21,mushroom,/ˈmʌʃruːm/,เห็ด,🍄,มัชรูม = เห็ด,n.,I like mushrooms.,ฉันชอบเห็ด,6
vegetables,ผัก,🥦,21,chili,/ˈtʃɪli/,พริก,🌶️,ชิลลี่ เผ็ด ๆ,n.,Too much chili.,พริกเยอะไป,7
vegetables,ผัก,🥦,21,cabbage,/ˈkæbɪdʒ/,กะหล่ำปลี,🥬,แคบเบจ = กะหล่ำ,n.,Fresh cabbage.,กะหล่ำสด,8
vegetables,ผัก,🥦,21,pumpkin,/ˈpʌmpkɪn/,ฟักทอง,🎃,พัมคิน = ฟักทอง,n.,Pumpkin soup.,ซุปฟักทอง,9
vegetables,ผัก,🥦,21,eggplant,/ˈeɡplænt/,มะเขือ,🍆,egg + plant = มะเขือ,n.,Fried eggplant.,มะเขือทอด,10
vegetables,ผัก,🥦,21,salad,/ˈsæləd/,สลัด,🥗,สลัด ตรงตัว,n.,A green salad.,สลัดผัก,11
vegetables,ผัก,🥦,21,onion,/ˈʌnjən/,หัวหอม,🧅,อันเยิ่น = หัวหอม,n.,Chop the onion.,สับหัวหอม,12
vegetables,ผัก,🥦,21,spinach,/ˈspɪnɪtʃ/,ผักโขม,🥬,สปินิช (ป๊อปอาย),n.,Spinach is healthy.,ผักโขมดีต่อสุขภาพ,13
vegetables,ผัก,🥦,21,ginger,/ˈdʒɪndʒər/,ขิง,🫚,จินเจอร์ = ขิง,n.,Add some ginger.,ใส่ขิงหน่อย,14
verbs,คำกริยาใช้บ่อย,✅,22,go,/ɡoʊ/,ไป,🚶,โก = ไป,v.,Let’s go.,ไปกันเถอะ,1
verbs,คำกริยาใช้บ่อย,✅,22,come,/kʌm/,มา,👋,คัม = มา,v.,Come here.,มานี่,2
verbs,คำกริยาใช้บ่อย,✅,22,eat,/iːt/,กิน,🍽️,อีท = กิน,v.,Let’s eat.,กินข้าวกัน,3
verbs,คำกริยาใช้บ่อย,✅,22,drink,/drɪŋk/,ดื่ม,🥤,ดริ๊งค์ = ดื่ม,v.,Drink water.,ดื่มน้ำ,4
verbs,คำกริยาใช้บ่อย,✅,22,sleep,/sliːp/,นอน,😴,สลีป = นอน,v.,I need to sleep.,ฉันต้องนอน,5
