theme_slug,theme_title_th,theme_emoji,theme_order,word,ipa,thai,emoji,hint,pos,example_en,example_th,order
ai,ศัพท์ AI,🤖,39,AI,/ˌeɪˈaɪ/,ปัญญาประดิษฐ์,🤖,เอ-ไอ ย่อจาก Artificial Intelligence,n.,AI can help you write emails.,AI ช่วยเขียนอีเมลได้,1
ai,ศัพท์ AI,🤖,39,prompt,/prɒmpt/,คำสั่งที่พิมพ์ให้ AI,💬,พร็อมต์ = สิ่งที่เราพิมพ์บอก AI,n.,Type your prompt here.,พิมพ์คำสั่งของคุณตรงนี้,2
ai,ศัพท์ AI,🤖,39,model,/ˈmɒdl/,โมเดล (ตัว AI),🧠,โมเดล = สมองของ AI ที่ประมวลผล,n.,Choose an AI model.,เลือกโมเดล AI,3
ai,ศัพท์ AI,🤖,39,chatbot,/ˈtʃætbɒt/,แชตบอต,🤖,chat + bot = บอตพูดคุย,n.,Ask the chatbot a question.,ลองถามแชตบอตดู,4
ai,ศัพท์ AI,🤖,39,generate,/ˈdʒenəreɪt/,สร้าง (ให้ AI สร้าง),✨,เจนเนอเรท = ให้ AI สร้างให้,v.,Generate an image.,สร้างรูปภาพ,5
ai,ศัพท์ AI,🤖,39,token,/ˈtoʊkən/,โทเคน (หน่วยข้อความ),🎟️,โทเคน = ชิ้นคำที่ AI นับ,n.,This uses 100 tokens.,อันนี้ใช้ 100 โทเคน,6
ai,ศัพท์ AI,🤖,39,dataset,/ˈdeɪtəset/,ชุดข้อมูล,🗃️,data + set = ชุดข้อมูลฝึก AI,n.,Upload your dataset.,อัปโหลดชุดข้อมูล,7
ai,ศัพท์ AI,🤖,39,train,/treɪn/,ฝึกสอน (AI),🏋️,เทรน = ฝึกสอนโมเดล,v.,Train the model with data.,ฝึกโมเดลด้วยข้อมูล,8
ai,ศัพท์ AI,🤖,39,output,/ˈaʊtpʊt/,ผลลัพธ์,📤,out + put = สิ่งที่ AI ส่งออกมา,n.,Copy the output.,คัดลอกผลลัพธ์,9
ai,ศัพท์ AI,🤖,39,input,/ˈɪnpʊt/,ข้อมูลนำเข้า,📥,in + put = สิ่งที่เราใส่เข้าไป,n.,Enter your input.,ใส่ข้อมูลของคุณ,10
ai,ศัพท์ AI,🤖,39,context,/ˈkɒntekst/,บริบท,📋,คอนเท็กซ์ = ข้อมูลแวดล้อมที่ AI จำ,n.,Give the AI more context.,ให้บริบทกับ AI เพิ่ม,11
ai,ศัพท์ AI,🤖,39,hallucinate,/həˈluːsɪneɪt/,ตอบมั่ว/แต่งข้อมูล,🌀,AI มั่วเหมือนเห็นภาพหลอน,v.,AI can hallucinate facts.,AI อาจมั่วข้อมูลได้,12
ai,ศัพท์ AI,🤖,39,fine-tune,/ˌfaɪnˈtjuːn/,ปรับจูนโมเดล,🎛️,fine + tune = จูนให้ละเอียด,v.,Fine-tune the model.,ปรับจูนโมเดล,13
ai,ศัพท์ AI,🤖,39,agent,/ˈeɪdʒənt/,เอเจนต์ (AI ทำงานเอง),🕵️,เอเจนต์ = AI ที่ทำงานแทนเรา,n.,The agent books flights.,เอเจนต์จองตั๋วให้,14
ai,ศัพท์ AI,🤖,39,response,/rɪˈspɒns/,คำตอบของ AI,💭,เรสปอนส์ = สิ่งที่ AI ตอบกลับ,n.,Read the response.,อ่านคำตอบ,15
ai,ศัพท์ AI,🤖,39,summarize,/ˈsʌməraɪz/,สรุปย่อ,📝,ซัมมาไรซ์ = ทำให้สั้นลง,v.,Summarize this document.,สรุปเอกสารนี้,16
software,ศัพท์ในโปรแกรม,🖥️,40,button,/ˈbʌtn/,ปุ่ม,🔘,บัตทึน = ปุ่มกด,n.,Click the button.,คลิกปุ่ม,1
software,ศัพท์ในโปรแกรม,🖥️,40,menu,/ˈmenjuː/,เมนู,📋,เมนู = รายการให้เลือก,n.,Open the menu.,เปิดเมนู,2
software,ศัพท์ในโปรแกรม,🖥️,40,settings,/ˈsetɪŋz/,การตั้งค่า,⚙️,เซตติ้ง = ที่ตั้งค่าต่าง ๆ,n.,Go to settings.,ไปที่การตั้งค่า,3
software,ศัพท์ในโปรแกรม,🖥️,40,upload,/ˈʌploʊd/,อัปโหลด,⬆️,up + load = ส่งไฟล์ขึ้น,v.,Upload a file.,อัปโหลดไฟล์,4
software,ศัพท์ในโปรแกรม,🖥️,40,download,/ˈdaʊnloʊd/,ดาวน์โหลด,⬇️,down + load = โหลดไฟล์ลง,v.,Download the report.,ดาวน์โหลดรายงาน,5
software,ศัพท์ในโปรแกรม,🖥️,40,save,/seɪv/,บันทึก,💾,เซฟ = บันทึกงาน,v.,Save your work.,บันทึกงานของคุณ,6
software,ศัพท์ในโปรแกรม,🖥️,40,login,/ˈlɒɡɪn/,เข้าสู่ระบบ,🔑,ล็อกอิน = เข้าระบบ,v.,Please login first.,กรุณาเข้าสู่ระบบก่อน,7
software,ศัพท์ในโปรแกรม,🖥️,40,logout,/ˈlɒɡaʊt/,ออกจากระบบ,🚪,ล็อกเอาท์ = ออกจากระบบ,v.,Don't forget to logout.,อย่าลืมออกจากระบบ,8
software,ศัพท์ในโปรแกรม,🖥️,40,dashboard,/ˈdæʃbɔːrd/,แดชบอร์ด,📊,แดชบอร์ด = หน้าสรุปข้อมูล,n.,Check the dashboard.,ดูแดชบอร์ด,9
software,ศัพท์ในโปรแกรม,🖥️,40,search,/sɜːrtʃ/,ค้นหา,🔍,เสิร์ช = ค้นหา,v.,Search for a file.,ค้นหาไฟล์,10
software,ศัพท์ในโปรแกรม,🖥️,40,filter,/ˈfɪltər/,กรอง,🔽,ฟิลเตอร์ = กรองข้อมูล,v.,Filter the results.,กรองผลลัพธ์,11
software,ศัพท์ในโปรแกรม,🖥️,40,submit,/səbˈmɪt/,ส่ง/ยืนยัน,✅,ซับมิท = กดส่ง,v.,Submit the form.,ส่งฟอร์ม,12
software,ศัพท์ในโปรแกรม,🖥️,40,cancel,/ˈkænsl/,ยกเลิก,❌,แคนเซิล = ยกเลิก,v.,Cancel the order.,ยกเลิกรายการ,13
software,ศัพท์ในโปรแกรม,🖥️,40,delete,/dɪˈliːt/,ลบ,🗑️,ดีลีท = ลบทิ้ง,v.,Delete the file.,ลบไฟล์,14
software,ศัพท์ในโปรแกรม,🖥️,40,edit,/ˈedɪt/,แก้ไข,✏️,เอดิท = แก้ไข,v.,Edit the text.,แก้ไขข้อความ,15
software,ศัพท์ในโปรแกรม,🖥️,40,export,/ɪkˈspɔːrt/,ส่งออกไฟล์,📤,เอ็กซ์พอร์ต = ส่งออก,v.,Export to PDF.,ส่งออกเป็น PDF,16
ai_actions,ปุ่มและคำสั่ง AI,⚙️,41,regenerate,/ˌriːˈdʒenəreɪt/,สร้างใหม่,🔄,re + generate = สร้างใหม่อีกครั้ง,v.,Regenerate the answer.,สร้างคำตอบใหม่,1
